filename,width,height,class,xmin,ymin,xmax,ymax
BM276:MV-00004:zedx:20250131-025531_0.jpg,1920,1200,person,781,279,814,358
BM276:MV-00004:zedx:20250131-025531_0.jpg,1920,1200,person,736,285,766,366
BM276:MV-00004:zedx:20250131-025531_100.jpg,1920,1200,person,627,334,674,449
BM276:MV-00004:zedx:20250131-025531_100.jpg,1920,1200,person,464,361,519,471
BM276:MV-00004:zedx:20250131-025531_113.jpg,1920,1200,person,571,349,632,469
BM276:MV-00004:zedx:20250131-025531_113.jpg,1920,1200,person,399,382,461,499
BM276:MV-00004:zedx:20250131-025531_127.jpg,1920,1200,person,476,371,565,504
BM276:MV-00004:zedx:20250131-025531_127.jpg,1920,1200,person,289,409,380,551
BM276:MV-00004:zedx:20250131-025531_133.jpg,1920,1200,person,466,376,540,514
BM276:MV-00004:zedx:20250131-025531_133.jpg,1920,1200,person,252,423,343,570
BM276:MV-00004:zedx:20250131-025531_144.jpg,1920,1200,person,399,398,488,543
BM276:MV-00004:zedx:20250131-025531_144.jpg,1920,1200,person,164,455,264,606
BM276:MV-00004:zedx:20250131-025531_152.jpg,1920,1200,person,93,479,202,635
BM276:MV-00004:zedx:20250131-025531_152.jpg,1920,1200,person,332,420,444,566
BM276:MV-00004:zedx:20250131-025531_153.jpg,1920,1200,person,75,480,194,644
BM276:MV-00004:zedx:20250131-025531_153.jpg,1920,1200,person,578,268,604,320
BM276:MV-00004:zedx:20250131-025531_153.jpg,1920,1200,person,319,421,433,569
BM276:MV-00004:zedx:20250131-025531_154.jpg,1920,1200,person,316,424,431,570
BM276:MV-00004:zedx:20250131-025531_154.jpg,1920,1200,person,71,485,182,644
BM276:MV-00004:zedx:20250131-025531_161.jpg,1920,1200,person,1,513,128,686
BM276:MV-00004:zedx:20250131-025531_161.jpg,1920,1200,person,259,443,387,599
BM276:MV-00004:zedx:20250131-025531_166.jpg,1920,1200,person,0,565,66,705
BM276:MV-00004:zedx:20250131-025531_166.jpg,1920,1200,person,211,458,347,620
BM276:MV-00004:zedx:20250131-025531_18.jpg,1920,1200,person,708,291,742,374
BM276:MV-00004:zedx:20250131-025531_18.jpg,1920,1200,person,756,285,795,368
BM276:MV-00004:zedx:20250131-025531_20.jpg,1920,1200,person,705,292,736,377
BM276:MV-00004:zedx:20250131-025531_20.jpg,1920,1200,person,755,287,793,371
BM276:MV-00004:zedx:20250131-025531_27.jpg,1920,1200,person,747,290,783,377
BM276:MV-00004:zedx:20250131-025531_27.jpg,1920,1200,person,694,296,727,384
BM276:MV-00004:zedx:20250131-025531_43.jpg,1920,1200,person,723,296,760,386
BM276:MV-00004:zedx:20250131-025531_52.jpg,1920,1200,person,696,305,738,397
BM276:MV-00004:zedx:20250131-025531_52.jpg,1920,1200,person,647,309,688,408
BM276:MV-00004:zedx:20250131-025531_57.jpg,1920,1200,person,682,309,722,403
BM276:MV-00004:zedx:20250131-025531_57.jpg,1920,1200,person,634,311,672,412
BM276:MV-00004:zedx:20250131-025531_81.jpg,1920,1200,person,549,332,600,445
BM276:MV-00004:zedx:20250131-025531_81.jpg,1920,1200,person,616,327,671,436
BM276:MV-00004:zedx:20250131-025531_88.jpg,1920,1200,person,619,329,675,437
BM276:MV-00004:zedx:20250131-025531_88.jpg,1920,1200,person,520,343,567,449
BM276:MV-00004:zedx:20250131-025531_97.jpg,1920,1200,person,625,333,684,447
BM276:MV-00004:zedx:20250131-025531_97.jpg,1920,1200,person,478,358,531,467
BM276:MV-00004:zedx:20250131-025531_98.jpg,1920,1200,person,626,336,675,448
BM276:MV-00004:zedx:20250131-025531_98.jpg,1920,1200,person,475,357,529,468
BM276:MV-00004:zedx:20250131-025548_0.jpg,1920,1200,person,409,302,440,361
BM276:MV-00004:zedx:20250131-025548_116.jpg,1920,1200,person,70,374,119,449
BM276:MV-00004:zedx:20250131-025548_16.jpg,1920,1200,person,375,309,408,368
BM276:MV-00004:zedx:20250131-025548_17.jpg,1920,1200,person,374,309,404,368
BM276:MV-00004:zedx:20250131-025548_2.jpg,1920,1200,person,406,300,437,359
BM276:MV-00004:zedx:20250131-025548_34.jpg,1920,1200,person,336,319,366,376
BM276:MV-00004:zedx:20250131-025548_36.jpg,1920,1200,person,327,321,360,376
BM276:MV-00004:zedx:20250131-025548_48.jpg,1920,1200,person,286,329,322,390
BM276:MV-00004:zedx:20250131-025548_6.jpg,1920,1200,person,397,304,428,361
BM276:MV-00004:zedx:20250131-025548_77.jpg,1920,1200,person,203,347,244,409
BM276:MV-00004:zedx:20250131-025606_118.jpg,1920,1200,person,125,390,187,475
BM276:MV-00004:zedx:20250131-025606_118.jpg,1920,1200,person,184,394,247,489
BM276:MV-00004:zedx:20250131-025606_121.jpg,1920,1200,person,223,377,288,472
BM276:MV-00004:zedx:20250131-025606_121.jpg,1920,1200,person,171,369,229,458
BM276:MV-00004:zedx:20250131-025606_124.jpg,1920,1200,person,276,362,340,451
BM276:MV-00004:zedx:20250131-025606_124.jpg,1920,1200,person,231,356,283,436
BM276:MV-00004:zedx:20250131-025606_137.jpg,1920,1200,person,475,317,516,396
BM276:MV-00004:zedx:20250131-025606_137.jpg,1920,1200,person,435,311,472,379
BM276:MV-00004:zedx:20250131-025606_155.jpg,1920,1200,person,692,277,717,349
BM276:MV-00004:zedx:20250131-025606_155.jpg,1920,1200,person,648,271,672,329
BM276:MV-00004:zedx:20250131-025606_159.jpg,1920,1200,person,692,259,721,319
BM276:MV-00004:zedx:20250131-025606_159.jpg,1920,1200,person,741,264,767,338
BM276:MV-00004:zedx:20250131-025606_41.jpg,1920,1200,person,28,394,103,485
BM276:MV-00004:zedx:20250131-025606_48.jpg,1920,1200,person,209,356,264,436
BM276:MV-00004:zedx:20250131-030916_120.jpg,1920,1200,person,557,281,589,336
BM276:MV-00004:zedx:20250131-030916_121.jpg,1920,1200,person,556,281,588,336
BM276:MV-00004:zedx:20250131-030916_140.jpg,1920,1200,person,534,288,565,352
BM276:MV-00004:zedx:20250131-030916_144.jpg,1920,1200,person,529,292,566,355
BM276:MV-00004:zedx:20250131-030916_32.jpg,1920,1200,person,699,244,717,284
BM276:MV-00004:zedx:20250131-030916_61.jpg,1920,1200,person,642,257,666,300
BM276:MV-00004:zedx:20250131-030916_62.jpg,1920,1200,person,640,255,664,300
BM276:MV-00004:zedx:20250131-030916_78.jpg,1920,1200,person,618,261,640,310
BM276:MV-00004:zedx:20250131-030916_96.jpg,1920,1200,person,588,272,621,320
BM276:MV-00004:zedx:20250131-030933_2.jpg,1920,1200,person,487,323,535,407
BM276:MV-00004:zedx:20250131-030933_48.jpg,1920,1200,person,482,368,548,482
BM276:MV-00004:zedx:20250131-030933_70.jpg,1920,1200,person,416,417,525,562
BM276:MV-00004:zedx:20250131-030933_72.jpg,1920,1200,person,397,423,494,561
BM276:MV-00004:zedx:20250131-030933_78.jpg,1920,1200,person,359,440,454,593
BM276:MV-00004:zedx:20250131-030933_84.jpg,1920,1200,person,289,469,419,626
BM276:MV-00004:zedx:20250131-030933_86.jpg,1920,1200,person,265,480,403,648
BM276:MV-00004:zedx:20250131-031006_108.jpg,1920,1200,person,417,404,493,544
BM276:MV-00004:zedx:20250131-031006_116.jpg,1920,1200,person,463,380,533,508
BM276:MV-00004:zedx:20250131-031006_121.jpg,1920,1200,person,482,372,543,490
BM276:MV-00004:zedx:20250131-031006_124.jpg,1920,1200,person,490,365,561,482
BM276:MV-00004:zedx:20250131-031006_126.jpg,1920,1200,person,499,363,563,480
BM276:MV-00004:zedx:20250131-031006_76.jpg,1920,1200,person,39,580,205,801
BM276:MV-00004:zedx:20250131-031006_94.jpg,1920,1200,person,305,455,412,617
BM276:MV-00004:zedx:20250131-031006_95.jpg,1920,1200,person,308,451,408,605
BM276:MV-00004:zedx:20250131-031023_0.jpg,1920,1200,person,591,296,623,369
BM276:MV-00004:zedx:20250131-031023_121.jpg,1920,1200,person,656,247,678,293
BM276:MV-00004:zedx:20250131-031023_122.jpg,1920,1200,person,658,248,681,292
BM276:MV-00004:zedx:20250131-031023_125.jpg,1920,1200,person,663,246,682,290
BM276:MV-00004:zedx:20250131-031023_128.jpg,1920,1200,person,664,246,684,290
BM276:MV-00004:zedx:20250131-031023_19.jpg,1920,1200,person,612,284,649,352
BM276:MV-00004:zedx:20250131-031023_28.jpg,1920,1200,person,623,280,652,344
BM276:MV-00004:zedx:20250131-031023_30.jpg,1920,1200,person,621,277,657,341
BM276:MV-00004:zedx:20250131-031023_4.jpg,1920,1200,person,594,293,627,364
BM276:MV-00004:zedx:20250131-031023_41.jpg,1920,1200,person,631,274,661,334
BM276:MV-00004:zedx:20250131-031023_48.jpg,1920,1200,person,631,270,660,328
BM276:MV-00004:zedx:20250131-031023_57.jpg,1920,1200,person,632,266,656,323
BM276:MV-00004:zedx:20250131-031023_73.jpg,1920,1200,person,628,263,652,315
BM276:MV-00004:zedx:20250131-033734_122.jpg,1920,1200,person,702,233,722,272
BM276:MV-00004:zedx:20250131-033734_124.jpg,1920,1200,person,700,233,717,279
BM276:MV-00004:zedx:20250131-033734_124.jpg,1920,1200,person,722,235,737,268
BM276:MV-00004:zedx:20250131-033734_143.jpg,1920,1200,person,689,236,708,284
BM276:MV-00004:zedx:20250131-033734_146.jpg,1920,1200,person,689,236,708,283
BM276:MV-00004:zedx:20250131-033734_159.jpg,1920,1200,person,683,237,702,286
BM276:MV-00004:zedx:20250131-033734_159.jpg,1920,1200,person,666,229,689,284
BM276:MV-00004:zedx:20250131-033734_160.jpg,1920,1200,person,665,237,685,283
BM276:MV-00004:zedx:20250131-033734_160.jpg,1920,1200,person,680,237,703,284
BM276:MV-00004:zedx:20250131-033734_165.jpg,1920,1200,person,675,238,700,286
BM276:MV-00004:zedx:20250131-033734_165.jpg,1920,1200,person,664,241,682,287
BM276:MV-00004:zedx:20250131-033751_0.jpg,1920,1200,person,634,257,652,297
BM276:MV-00004:zedx:20250131-033751_0.jpg,1920,1200,person,652,247,674,295
BM276:MV-00004:zedx:20250131-033751_119.jpg,1920,1200,person,615,279,648,345
BM276:MV-00004:zedx:20250131-033751_119.jpg,1920,1200,person,663,268,697,342
BM276:MV-00004:zedx:20250131-033751_120.jpg,1920,1200,person,616,280,648,344
BM276:MV-00004:zedx:20250131-033751_120.jpg,1920,1200,person,663,268,699,342
BM276:MV-00004:zedx:20250131-033751_17.jpg,1920,1200,person,646,248,672,300
BM276:MV-00004:zedx:20250131-033751_17.jpg,1920,1200,person,619,256,641,302
BM276:MV-00004:zedx:20250131-033751_32.jpg,1920,1200,person,611,262,635,309
BM276:MV-00004:zedx:20250131-033751_32.jpg,1920,1200,person,648,250,676,305
BM276:MV-00004:zedx:20250131-033751_36.jpg,1920,1200,person,650,251,674,306
BM276:MV-00004:zedx:20250131-033751_36.jpg,1920,1200,person,612,264,630,310
BM276:MV-00004:zedx:20250131-033751_56.jpg,1920,1200,person,601,264,628,318
BM276:MV-00004:zedx:20250131-033751_56.jpg,1920,1200,person,650,255,679,313
BM276:MV-00004:zedx:20250131-033751_69.jpg,1920,1200,person,649,257,678,319
BM276:MV-00004:zedx:20250131-033751_69.jpg,1920,1200,person,602,267,629,323
BM276:MV-00004:zedx:20250131-033751_80.jpg,1920,1200,person,647,259,680,324
BM276:MV-00004:zedx:20250131-033751_80.jpg,1920,1200,person,602,270,629,329
BM276:MV-00004:zedx:20250131-033807_103.jpg,1920,1200,person,798,445,901,701
BM276:MV-00004:zedx:20250131-033807_103.jpg,1920,1200,person,658,443,745,637
BM276:MV-00004:zedx:20250131-033807_104.jpg,1920,1200,person,797,449,901,701
BM276:MV-00004:zedx:20250131-033807_104.jpg,1920,1200,person,655,444,745,637
BM276:MV-00004:zedx:20250131-033807_112.jpg,1920,1200,person,807,492,933,754
BM276:MV-00004:zedx:20250131-033807_112.jpg,1920,1200,person,634,476,743,682
BM276:MV-00004:zedx:20250131-033807_117.jpg,1920,1200,person,805,525,942,831
BM276:MV-00004:zedx:20250131-033807_117.jpg,1920,1200,person,626,495,734,729
BM276:MV-00004:zedx:20250131-033807_120.jpg,1920,1200,person,618,508,723,743
BM276:MV-00004:zedx:20250131-033807_120.jpg,1920,1200,person,803,543,950,833
BM276:MV-00004:zedx:20250131-033807_123.jpg,1920,1200,person,814,574,968,918
BM276:MV-00004:zedx:20250131-033807_123.jpg,1920,1200,person,610,532,721,787
BM276:MV-00004:zedx:20250131-033807_124.jpg,1920,1200,person,600,538,729,788
BM276:MV-00004:zedx:20250131-033807_124.jpg,1920,1200,person,819,581,979,921
BM276:MV-00004:zedx:20250131-033807_134.jpg,1920,1200,person,579,588,723,850
BM276:MV-00004:zedx:20250131-033807_134.jpg,1920,1200,person,793,712,1012,1149
BM276:MV-00004:zedx:20250131-033807_135.jpg,1920,1200,person,793,728,1022,1179
BM276:MV-00004:zedx:20250131-033807_135.jpg,1920,1200,person,576,593,723,880
BM276:MV-00004:zedx:20250131-033807_140.jpg,1920,1200,person,547,633,728,942
BM276:MV-00004:zedx:20250131-033807_140.jpg,1920,1200,person,775,829,1055,1200
BM276:MV-00004:zedx:20250131-033807_147.jpg,1920,1200,person,525,687,703,1035
BM276:MV-00004:zedx:20250131-033807_149.jpg,1920,1200,person,516,703,706,1042
BM276:MV-00004:zedx:20250131-033807_151.jpg,1920,1200,person,510,718,701,1042
BM276:MV-00004:zedx:20250131-033807_152.jpg,1920,1200,person,508,723,698,1042
BM276:MV-00004:zedx:20250131-033807_163.jpg,1920,1200,person,422,824,708,1169
BM276:MV-00004:zedx:20250131-033807_166.jpg,1920,1200,person,417,841,723,1200
BM276:MV-00004:zedx:20250131-033807_170.jpg,1920,1200,person,434,863,718,1200
BM276:MV-00004:zedx:20250131-033807_36.jpg,1920,1200,person,645,329,696,439
BM276:MV-00004:zedx:20250131-033807_36.jpg,1920,1200,person,742,316,798,437
BM276:MV-00004:zedx:20250131-033807_4.jpg,1920,1200,person,703,295,752,400
BM276:MV-00004:zedx:20250131-033807_4.jpg,1920,1200,person,637,308,681,402
BM276:MV-00004:zedx:20250131-033807_41.jpg,1920,1200,person,747,315,803,448
BM276:MV-00004:zedx:20250131-033807_41.jpg,1920,1200,person,649,331,695,449
BM276:MV-00004:zedx:20250131-033807_56.jpg,1920,1200,person,660,349,715,477
BM276:MV-00004:zedx:20250131-033807_56.jpg,1920,1200,person,765,331,825,477
BM276:MV-00004:zedx:20250131-033807_6.jpg,1920,1200,person,703,297,753,403
BM276:MV-00004:zedx:20250131-033807_6.jpg,1920,1200,person,637,311,679,404
BM276:MV-00004:zedx:20250131-033807_64.jpg,1920,1200,person,768,343,825,504
BM276:MV-00004:zedx:20250131-033807_64.jpg,1920,1200,person,670,355,729,492
BM276:MV-00004:zedx:20250131-033807_70.jpg,1920,1200,person,668,367,738,506
BM276:MV-00004:zedx:20250131-033807_70.jpg,1920,1200,person,760,354,837,522
BM276:MV-00004:zedx:20250131-033807_71.jpg,1920,1200,person,670,369,740,508
BM276:MV-00004:zedx:20250131-033807_71.jpg,1920,1200,person,761,356,839,525
BM276:MV-00004:zedx:20250131-033807_79.jpg,1920,1200,person,671,384,736,538
BM276:MV-00004:zedx:20250131-033807_79.jpg,1920,1200,person,771,372,847,557
BM276:MV-00004:zedx:20250131-033807_88.jpg,1920,1200,person,671,403,742,571
BM276:MV-00004:zedx:20250131-033807_88.jpg,1920,1200,person,784,390,873,580
BM276:MV-00004:zedx:20250131-033807_89.jpg,1920,1200,person,670,404,747,572
BM276:MV-00004:zedx:20250131-033807_89.jpg,1920,1200,person,784,395,875,602
BM276:MV-00004:zedx:20250131-033824_0.jpg,1920,1200,person,462,1005,712,1199
BM276:MV-00004:zedx:20250131-033824_10.jpg,1920,1200,person,474,1011,752,1199
BM276:MV-00004:zedx:20250131-033824_102.jpg,1920,1200,person,469,1028,749,1199
BM276:MV-00004:zedx:20250131-033824_108.jpg,1920,1200,person,438,1056,710,1199
BM276:MV-00004:zedx:20250131-033824_14.jpg,1920,1200,person,494,999,753,1199
BM276:MV-00004:zedx:20250131-033824_15.jpg,1920,1200,person,497,996,754,1199
BM276:MV-00004:zedx:20250131-033824_4.jpg,1920,1200,person,460,1022,737,1200
BM276:MV-00004:zedx:20250131-033824_44.jpg,1920,1200,person,499,996,753,1199
BM276:MV-00004:zedx:20250131-033824_45.jpg,1920,1200,person,499,995,754,1199
BM276:MV-00004:zedx:20250131-033824_73.jpg,1920,1200,person,500,996,754,1199
BM276:MV-00004:zedx:20250131-033824_90.jpg,1920,1200,person,496,1000,753,1199
BM276:MV-00004:zedx:20250131-033931_120.jpg,1920,1200,person,745,1068,1029,1200
BM276:MV-00004:zedx:20250131-033931_48.jpg,1920,1200,person,734,1006,1042,1200
BM276:MV-00004:zedx:20250131-033931_58.jpg,1920,1200,person,729,988,1038,1200
BM276:MV-00004:zedx:20250131-033931_61.jpg,1920,1200,person,808,982,1013,1197
BM276:MV-00004:zedx:20250131-033931_62.jpg,1920,1200,person,724,980,1012,1200
BM276:MV-00004:zedx:20250131-033931_80.jpg,1920,1200,person,809,1009,1087,1200
BM276:MV-00004:zedx:20250131-034520_111.jpg,1920,1200,person,1084,331,1165,509
BM276:MV-00004:zedx:20250131-034520_125.jpg,1920,1200,person,1074,375,1171,585
BM276:MV-00004:zedx:20250131-034520_125.jpg,1920,1200,person,1179,263,1223,364
BM276:MV-00004:zedx:20250131-034520_138.jpg,1920,1200,person,1059,426,1174,673
BM276:MV-00004:zedx:20250131-034520_138.jpg,1920,1200,person,1132,258,1172,353
BM276:MV-00004:zedx:20250131-034520_141.jpg,1920,1200,person,1059,443,1170,718
BM276:MV-00004:zedx:20250131-034520_141.jpg,1920,1200,person,1121,256,1159,350
BM276:MV-00004:zedx:20250131-034520_142.jpg,1920,1200,person,1116,256,1159,350
BM276:MV-00004:zedx:20250131-034520_142.jpg,1920,1200,person,1057,451,1169,728
BM276:MV-00004:zedx:20250131-034520_149.jpg,1920,1200,person,1006,501,1153,800
BM276:MV-00004:zedx:20250131-034520_149.jpg,1920,1200,person,1102,254,1134,343
BM276:MV-00004:zedx:20250131-034520_151.jpg,1920,1200,person,993,512,1139,803
BM276:MV-00004:zedx:20250131-034520_151.jpg,1920,1200,person,1098,256,1128,343
BM276:MV-00004:zedx:20250131-034520_153.jpg,1920,1200,person,1098,250,1120,342
BM276:MV-00004:zedx:20250131-034520_153.jpg,1920,1200,person,985,526,1136,864
BM276:MV-00004:zedx:20250131-034520_158.jpg,1920,1200,person,962,574,1135,891
BM276:MV-00004:zedx:20250131-034520_161.jpg,1920,1200,person,930,613,1120,980
BM276:MV-00004:zedx:20250131-034520_163.jpg,1920,1200,person,904,637,1091,1000
BM276:MV-00004:zedx:20250131-034520_169.jpg,1920,1200,person,882,735,1088,1158
BM276:MV-00004:zedx:20250131-034520_86.jpg,1920,1200,person,1180,296,1231,435
BM276:MV-00004:zedx:20250131-034520_87.jpg,1920,1200,person,1170,293,1231,437
BM276:MV-00004:zedx:20250131-034520_92.jpg,1920,1200,person,1146,300,1218,451
BM276:MV-00004:zedx:20250131-034536_0.jpg,1920,1200,person,973,249,996,326
BM276:MV-00004:zedx:20250131-034536_101.jpg,1920,1200,person,682,252,710,310
BM276:MV-00004:zedx:20250131-034536_111.jpg,1920,1200,person,670,248,692,304
BM276:MV-00004:zedx:20250131-034536_112.jpg,1920,1200,person,674,256,696,310
BM276:MV-00004:zedx:20250131-034536_116.jpg,1920,1200,person,665,251,692,307
BM276:MV-00004:zedx:20250131-034536_131.jpg,1920,1200,person,655,248,681,302
BM276:MV-00004:zedx:20250131-034536_133.jpg,1920,1200,person,655,250,675,301
BM276:MV-00004:zedx:20250131-034536_21.jpg,1920,1200,person,892,253,920,327
BM276:MV-00004:zedx:20250131-034536_28.jpg,1920,1200,person,867,255,898,328
BM276:MV-00004:zedx:20250131-034536_3.jpg,1920,1200,person,957,251,996,326
BM276:MV-00004:zedx:20250131-034536_37.jpg,1920,1200,person,830,259,863,328
BM276:MV-00004:zedx:20250131-034536_39.jpg,1920,1200,person,830,258,856,326
BM276:MV-00004:zedx:20250131-034536_4.jpg,1920,1200,person,957,252,988,327
BM276:MV-00004:zedx:20250131-034536_41.jpg,1920,1200,person,827,256,845,324
BM276:MV-00004:zedx:20250131-034536_43.jpg,1920,1200,person,815,258,849,329
BM276:MV-00004:zedx:20250131-034536_44.jpg,1920,1200,person,813,256,845,327
BM276:MV-00004:zedx:20250131-034536_47.jpg,1920,1200,person,786,256,819,325
BM276:MV-00004:zedx:20250131-034536_50.jpg,1920,1200,person,780,255,804,325
BM276:MV-00004:zedx:20250131-034536_52.jpg,1920,1200,person,776,258,804,326
BM276:MV-00004:zedx:20250131-034536_6.jpg,1920,1200,person,951,251,972,327
BM276:MV-00004:zedx:20250131-034536_67.jpg,1920,1200,person,733,259,766,323
BM276:MV-00004:zedx:20250131-034536_71.jpg,1920,1200,person,726,256,754,322
BM276:MV-00004:zedx:20250131-034536_72.jpg,1920,1200,person,725,254,753,320
BM276:MV-00004:zedx:20250131-034536_73.jpg,1920,1200,person,724,255,746,321
BM276:MV-00004:zedx:20250131-034536_77.jpg,1920,1200,person,717,255,745,318
BM276:MV-00004:zedx:20250131-034553_11.jpg,1920,1200,person,685,235,705,278
BM276:MV-00004:zedx:20250131-034553_144.jpg,1920,1200,person,850,203,863,235
BM276:MV-00004:zedx:20250131-034553_156.jpg,1920,1200,person,865,201,882,232
BM276:MV-00004:zedx:20250131-034553_32.jpg,1920,1200,person,706,233,720,262
BM276:MV-00004:zedx:20250131-034553_4.jpg,1920,1200,person,678,236,696,280
BM276:MV-00004:zedx:20250206-060100_113.jpg,1920,1200,person,1168,301,1223,451
BM276:MV-00004:zedx:20250206-060100_126.jpg,1920,1200,person,1115,307,1157,464
BM276:MV-00004:zedx:20250206-060134_49.jpg,1920,1200,person,1139,320,1177,463
BM276:MV-00004:zedx:20250206-060151_100.jpg,1920,1200,person,1116,324,1191,473
BM276:MV-00004:zedx:20250206-060151_80.jpg,1920,1200,person,1134,302,1177,463
BM276:MV-00004:zedx:20250206-060258_0.jpg,1920,1200,person,643,765,879,1170
BM276:MV-00004:zedx:20250206-060258_105.jpg,1920,1200,person,941,559,1086,978
BM276:MV-00004:zedx:20250206-060258_105.jpg,1920,1200,person,1259,34,1511,436
BM276:MV-00004:zedx:20250206-060258_112.jpg,1920,1200,person,985,530,1121,878
BM276:MV-00004:zedx:20250206-060258_118.jpg,1920,1200,person,1026,510,1139,838
BM276:MV-00004:zedx:20250206-060258_148.jpg,1920,1200,person,978,492,1112,800
BM276:MV-00004:zedx:20250206-060258_151.jpg,1920,1200,person,980,487,1095,806
BM276:MV-00004:zedx:20250206-060258_153.jpg,1920,1200,person,991,446,1097,805
BM276:MV-00004:zedx:20250206-060258_28.jpg,1920,1200,person,727,530,927,1104
BM276:MV-00004:zedx:20250206-060258_53.jpg,1920,1200,person,1241,35,1519,442
BM276:MV-00004:zedx:20250206-060258_53.jpg,1920,1200,person,751,660,927,1103
BM276:MV-00004:zedx:20250206-060258_8.jpg,1920,1200,person,728,671,896,1143
BM276:MV-00004:zedx:20250206-060315_107.jpg,1920,1200,person,991,476,1091,802
BM276:MV-00004:zedx:20250206-060315_12.jpg,1920,1200,person,999,472,1087,806
BM276:MV-00004:zedx:20250206-060315_125.jpg,1920,1200,person,986,468,1106,802
BM276:MV-00004:zedx:20250206-060315_30.jpg,1920,1200,person,994,464,1090,801
BM276:MV-00004:zedx:20250206-060315_30.jpg,1920,1200,person,1373,0,1557,421
